DEM2,EXP1,EXP1A,EXP2,EXP3,Question,Scores
25-34 years old,Yes,Mobile phone,Yes,Yes,RFCC,3
25-34 years old,Yes,Mobile phone,Yes,Yes,RFCC,1
25-34 years old,Yes,Mobile phone,Yes,Yes,RFCC,3
25-34 years old,Yes,Mobile phone,Yes,Yes,RFCD,3
25-34 years old,Yes,Mobile phone,Yes,Yes,RFCD,2
25-34 years old,Yes,Mobile phone,Yes,Yes,RFCD,3
25-34 years old,Yes,Mobile phone,Yes,Yes,RFCD,2
25-34 years old,Yes,Mobile phone,Yes,Yes,RFCD,2
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,2
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,1
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,4
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,4
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,4
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,1
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,4
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,4
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,4
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,1
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,1
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,1
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,4
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,4
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,4
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,2
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,1
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,2
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,2
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,1
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,1
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,1
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,1
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,2
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,3
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRA,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRAB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRA,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRAB,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRA,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRAB,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRA,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRAB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRA,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRAB,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRB,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRBB,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRB,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRBB,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRB,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRBB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRB,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRBB,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRB,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,OIRBB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCA,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCA,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCA,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCA,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCA,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCB,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCB,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCB,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCB,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCB,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCC,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCC,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCC,5
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCC,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCC,5
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCD,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCD,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCD,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCD,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,RFCD,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,5
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
